AED_Candidate,atrium,mosque,rcdg,kalimudan,soccer_field,ebl,library,carim,dorm2,csm,diwa,himati_house,usc_house,castillo,ate_lings,lydia,aquatics,dhk_training_gym,dc_sports_complex,cultural_center,som
atrium,0,247,127,238,164,180,148,603,778,832,870,219,202,183,221,768,1411,1390,1528,392,173
rcdg,127,209,0,267,234,294,265,680,855,916,949,279,246,286,303,843,1478,1432,1582,420,134
ebl,180,300,294,207,117,0,183,634,802,840,887,146,167,38,101,795,1437,1453,1575,508,350
library,148,386,265,344,250,183,0,472,646,694,736,300,302,212,274,637,1282,1280,1410,327,242
carim,603,850,680,816,721,634,472,0,176,238,269,769,774,670,735,165,809,825,941,322,575
csm,832,1078,916,1033,937,840,694,238,84,0,60,981,991,878,942,101,599,680,759,553,813
aquatics,1411,1658,1478,1625,1529,1437,1282,809,636,599,549,1576,1583,1474,1538,645,0,311,219,1073,1360
dhk_training_gym,1390,1629,1432,1620,1529,1453,1280,825,678,680,621,1581,1580,1488,1552,680,311,0,197,1012,1303
dc_sports_complex,1528,1772,1582,1753,1659,1575,1410,941,777,759,703,1709,1711,1611,1676,783,219,197,0,1164,1456
cultural_center,392,621,420,630,549,508,327,322,478,553,571,604,593,534,590,463,1073,1012,1164,0,292
som,173,343,134,385,330,350,242,575,747,813,841,382,357,356,392,733,1360,1303,1456,292,0