nodes,latitude,longhitude,activity_type,est_peak_pop,,,,,,,
atrium,7.085684249,125.4848139,sedentary,350,candidate,,,,,,
mosque,7.086108865,125.487096,sedentary,50,,,,,,,
rcdg,7.086787069,125.4852537,vigorous,350,candidate,,,,,,
kalimudan,7.084928961,125.4869178,moderate,50,,,,,,,
soccer_field,7.084748209,125.4860331,vigorous,50,,,,,,,
ebl,7.084045294,125.4851912,moderate,250,candidate,,,,,,
library,7.084869363,125.4836876,sedentary,100,candidate,,,,,,
carim,7.08458879,125.4792567,sedentary,200,candidate,,,,,,
dorm2,7.084203983,125.4776513,moderate,10,,,,,,,
csm,7.083493536,125.4773141,sedentary,350,candidate,,,,,,
diwa,7.083814642,125.4768557,sedentary,50,,,,,,,
himati_house,7.084490747,125.4864832,sedentary,50,,,,,,,
usc_house,7.084870379,125.4865253,sedentary,50,,,,,,,
castillo,7.084132736,125.4855381,moderate,50,,,,,,,
ate_lings,7.084104305,125.4861432,sedentary,50,,,,,,,
lydia,7.084340009,125.4777279,moderate,50,,,,,,,
aquatics,7.083787884,125.4716923,vigorous,50,candidate,,,,,,
dhk_training_gym,7.086690736,125.4717942,vigorous,350,candidate,,,,,,
dc_sports_complex,7.085421685,125.4704526,vigorous,100,candidate,,,,,,
cultural_center,7.086800055,125.4813044,sedentary,50,candidate,,,,,,
som,7.087098075,125.484034,sedentary,350,candidate,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,nodes,latitude,longhitude,activity_type,est_peak_pop,
,,,,,,atrium,7.085684249,125.4848139,sedentary,350,candidate
,,,,,,mosque,7.086108865,125.487096,sedentary,50,
,,,,,,rcdg,7.086787069,125.4852537,vigorous,350,candidate
,,,,,,kalimudan,7.084928961,125.4869178,moderate,50,
,,,,,,soccer_field,7.084748209,125.4860331,vigorous,50,
,,,,,,ebl,7.084045294,125.4851912,moderate,250,candidate
,,,,,,library,7.084869363,125.4836876,sedentary,100,candidate
,,,,,,carim,7.08458879,125.4792567,sedentary,200,candidate
,,,,,,dorm2,7.084203983,125.4776513,moderate,10,
,,,,,,csm,7.083493536,125.4773141,sedentary,350,candidate
,,,,,,diwa,7.083814642,125.4768557,sedentary,50,
,,,,,,himati_house,7.084490747,125.4864832,sedentary,50,
,,,,,,usc_house,7.084870379,125.4865253,sedentary,50,
,,,,,,castillo,7.084132736,125.4855381,moderate,50,
,,,,,,ate_lings,7.084104305,125.4861432,sedentary,50,
,,,,,,lydia,7.084340009,125.4777279,moderate,50,
,,,,,,aquatics,7.083787884,125.4716923,vigorous,50,candidate
,,,,,,dhk_training_gym,7.086690736,125.4717942,vigorous,350,candidate
,,,,,,dc_sports_complex,7.085421685,125.4704526,vigorous,100,candidate
,,,,,,cultural_center,7.086800055,125.4813044,sedentary,50,candidate
,,,,,,som,7.087098075,125.484034,sedentary,350,candidate